Time(s),FPS,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,DirX,DirY,DirZ
-0.1677,0.00,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
-0.1477,0.00,0.0000,9.9964,0.0000,-0.0003,0.0000,0.0000,0.0000,-0.1809,0.0001,0.0000,0.0000,1.0000
-0.1277,0.00,0.0000,9.9892,0.0000,-0.0008,0.0001,-0.0001,0.0000,-0.3612,0.0001,0.0000,0.0000,1.0000
-0.1077,0.00,0.0000,9.9783,0.0000,-0.0016,0.0001,-0.0001,0.0000,-0.5408,0.0002,0.0000,0.0000,1.0000
-0.0877,0.00,0.0000,9.9639,0.0000,-0.0027,0.0002,-0.0002,0.0000,-0.7198,0.0002,0.0000,0.0000,1.0000
-0.0677,0.00,0.0000,9.9460,0.0000,-0.0040,0.0003,-0.0003,0.0000,-0.8980,0.0003,0.0000,0.0001,1.0000
-0.0477,0.00,0.0000,9.9245,0.0000,-0.0056,0.0004,-0.0005,0.0000,-1.0757,0.0003,0.0000,0.0001,1.0000
-0.0277,0.00,0.0000,9.8994,0.0000,359.9925,0.0005,-0.0006,0.0000,-1.2526,0.0004,0.0000,0.0001,1.0000
-0.0077,0.00,0.0000,9.8708,0.0000,359.9904,0.0006,-0.0008,0.0000,-1.4289,0.0004,0.0000,0.0002,1.0000
0.0123,0.00,0.0000,9.8388,0.0000,359.9880,0.0008,-0.0010,0.0000,-1.6046,0.0005,0.0000,0.0002,1.0000
0.0323,0.00,0.0000,9.8032,0.0001,359.9854,0.0009,-0.0012,0.0000,-1.7796,0.0005,0.0000,0.0003,1.0000
0.0523,0.00,0.0000,9.7641,0.0001,359.9826,0.0011,-0.0015,-0.0001,-1.9539,0.0006,0.0000,0.0003,1.0000
0.0723,0.00,0.0000,9.7215,0.0001,359.9795,0.0013,-0.0018,-0.0001,-2.1276,0.0006,0.0000,0.0004,1.0000
0.0923,0.00,0.0000,9.6755,0.0001,359.9762,0.0015,-0.0020,-0.0001,-2.3007,0.0007,0.0000,0.0004,1.0000
0.1123,0.00,0.0000,9.6261,0.0001,359.9727,0.0017,-0.0023,-0.0001,-2.4731,0.0007,0.0000,0.0005,1.0000
0.1323,0.00,0.0000,9.5732,0.0001,359.9689,0.0020,-0.0027,-0.0001,-2.6449,0.0008,0.0000,0.0005,1.0000
0.1523,0.00,0.0000,9.5168,0.0001,359.9648,0.0022,-0.0030,-0.0001,-2.8160,0.0008,0.0000,0.0006,1.0000
0.1723,0.00,0.0000,9.4571,0.0002,359.9606,0.0025,-0.0034,-0.0001,-2.9866,0.0009,0.0000,0.0007,1.0000
0.1923,0.00,0.0000,9.3940,0.0002,359.9561,0.0028,-0.0038,-0.0001,-3.1564,0.0009,0.0000,0.0008,1.0000
0.2123,0.00,0.0000,9.3275,0.0002,359.9514,0.0031,-0.0042,-0.0001,-3.3257,0.0010,0.0001,0.0008,1.0000
0.2323,0.00,0.0000,9.2576,0.0002,359.9466,0.0034,-0.0046,-0.0001,-3.4943,0.0010,0.0001,0.0009,1.0000
0.2523,0.00,0.0000,9.1843,0.0002,359.9414,0.0037,-0.0050,-0.0001,-3.6623,0.0010,0.0001,0.0010,1.0000
0.2723,0.00,0.0000,9.1077,0.0003,359.9361,0.0041,-0.0055,-0.0001,-3.8297,0.0011,0.0001,0.0011,1.0000
0.2923,0.00,0.0000,9.0278,0.0003,359.9306,0.0044,359.9940,-0.0001,-3.9964,0.0011,0.0001,0.0012,1.0000
0.3123,0.00,0.0000,8.9446,0.0003,359.9248,0.0048,359.9935,-0.0001,-4.1626,0.0012,0.0001,0.0013,1.0000
0.3323,31.80,0.0000,8.8580,0.0003,359.9189,0.0052,359.9930,-0.0001,-4.3281,0.0012,0.0001,0.0014,1.0000
0.3523,31.80,0.0000,8.7681,0.0004,359.9128,0.0056,359.9925,-0.0001,-4.4930,0.0012,0.0001,0.0015,1.0000
0.3723,31.80,0.0000,8.6750,0.0004,359.9064,0.0060,359.9919,-0.0001,-4.6573,0.0013,0.0001,0.0016,1.0000
0.3923,31.80,0.0000,8.5786,0.0004,359.8999,0.0064,359.9914,-0.0001,-4.8210,0.0013,0.0001,0.0017,1.0000
0.4123,31.80,0.0000,8.4789,0.0004,359.8932,0.0068,359.9908,-0.0001,-4.9841,0.0013,0.0001,0.0019,1.0000
0.4323,31.80,0.0000,8.3760,0.0005,359.8863,0.0072,359.9902,-0.0001,-5.1466,0.0014,0.0001,0.0020,1.0000
0.4523,31.80,0.0000,8.2698,0.0005,359.8792,0.0077,359.9896,-0.0001,-5.3085,0.0014,0.0001,0.0021,1.0000
0.4723,31.80,0.0000,8.1604,0.0005,359.8719,0.0082,359.9890,-0.0001,-5.4697,0.0014,0.0001,0.0022,1.0000
0.4923,31.80,0.0000,8.0478,0.0005,359.8644,0.0086,359.9883,-0.0001,-5.6304,0.0015,0.0002,0.0024,1.0000
0.5123,31.80,-0.0001,7.9320,0.0006,359.8568,0.0091,359.9877,-0.0001,-5.7905,0.0015,0.0002,0.0025,1.0000
0.5323,31.80,-0.0001,7.8130,0.0006,359.8490,0.0096,359.9870,-0.0001,-5.9500,0.0015,0.0002,0.0026,1.0000
